c_s,a_s,t,val,d,sid
152,motion_detected,2026-01-13 18:30:20,1,E2,E2_motion
152,plate_captured,2026-01-13 18:30:24,AAA102,E2,E2_camera
153,motion_detected,2026-01-13 18:30:50,1,E2,E2_motion
153,plate_captured,2026-01-13 18:30:51,AAA103,E2,E2_camera
154,motion_detected,2026-01-13 18:31:20,1,E2,E2_motion
154,plate_captured,2026-01-13 18:31:24,AAA104,E2,E2_camera
155,motion_detected,2026-01-13 18:31:50,1,E2,E2_motion
155,plate_captured,2026-01-13 18:31:54,AAA105,E2,E2_camera
156,motion_detected,2026-01-13 18:32:20,1,E2,E2_motion
156,plate_captured,2026-01-13 18:32:24,AAA106,E2,E2_camera
157,motion_detected,2026-01-13 18:32:50,1,E2,E2_motion
157,plate_captured,2026-01-13 18:32:52,AAA107,E2,E2_camera
158,motion_detected,2026-01-13 18:33:20,1,E2,E2_motion
158,plate_captured,2026-01-13 18:33:23,AAA108,E2,E2_camera
159,motion_detected,2026-01-13 18:33:50,1,E2,E2_motion
159,plate_captured,2026-01-13 18:33:52,AAA109,E2,E2_camera
160,motion_detected,2026-01-13 18:34:20,1,E2,E2_motion
160,plate_captured,2026-01-13 18:34:23,AAA110,E2,E2_camera
161,motion_detected,2026-01-13 18:34:50,1,E2,E2_motion
161,plate_captured,2026-01-13 18:34:53,AAA111,E2,E2_camera
162,motion_detected,2026-01-13 18:35:20,1,E2,E2_motion
162,plate_captured,2026-01-13 18:35:21,AAA112,E2,E2_camera
163,motion_detected,2026-01-13 18:35:50,1,E2,E2_motion
163,plate_captured,2026-01-13 18:35:53,AAA113,E2,E2_camera
164,motion_detected,2026-01-13 18:36:20,1,E2,E2_motion
164,plate_captured,2026-01-13 18:36:21,AAA114,E2,E2_camera
165,motion_detected,2026-01-13 18:36:50,1,E2,E2_motion
165,plate_captured,2026-01-13 18:36:54,AAA115,E2,E2_camera
166,motion_detected,2026-01-13 18:37:20,1,E2,E2_motion
166,plate_captured,2026-01-13 18:37:22,AAA116,E2,E2_camera
167,motion_detected,2026-01-13 18:37:50,1,E2,E2_motion
167,plate_captured,2026-01-13 18:37:53,AAA117,E2,E2_camera
168,motion_detected,2026-01-13 18:38:20,1,E2,E2_motion
168,plate_captured,2026-01-13 18:38:23,AAA118,E2,E2_camera
169,motion_detected,2026-01-13 18:38:50,1,E2,E2_motion
169,plate_captured,2026-01-13 18:38:54,AAA119,E2,E2_camera
170,motion_detected,2026-01-13 18:39:20,1,E2,E2_motion
