device,type,c,a,t,_t_sort,a_cmd,a_i,a_s,c_a,c_i,c_s,d,d_p,d_s,d_t,id,m_i,s_post,s_pre,sid,val
E2,interaction,160,E1_turn_on_alert_E2,2026-01-13 18:00:16,,,E1_turn_on_alert_E2,,,160,,,E2,E1,E2,,motion detected,,,,
E2,actuator,160,turn_on,2026-01-13 18:00:19,,turn_on,,,160,,,E2,,,,E2_light,,ON,dimmed,,
E2,sensor,161,motion_detected,2026-01-13 18:30:27,,,,motion_detected,,,161,E2,,,,,,,,E2_motion,1
E2,sensor,161,plate_captured,2026-01-13 18:30:28,,,,plate_captured,,,161,E2,,,,,,,,E2_camera,AAA102
E2,sensor,162,motion_detected,2026-01-13 18:30:57,,,,motion_detected,,,162,E2,,,,,,,,E2_motion,1
E2,sensor,162,plate_captured,2026-01-13 18:31:00,,,,plate_captured,,,162,E2,,,,,,,,E2_camera,AAA103
E2,sensor,163,motion_detected,2026-01-13 18:31:27,,,,motion_detected,,,163,E2,,,,,,,,E2_motion,1
E2,sensor,163,plate_captured,2026-01-13 18:31:28,,,,plate_captured,,,163,E2,,,,,,,,E2_camera,AAA104
E2,sensor,164,motion_detected,2026-01-13 18:31:57,,,,motion_detected,,,164,E2,,,,,,,,E2_motion,1
E2,sensor,164,plate_captured,2026-01-13 18:31:59,,,,plate_captured,,,164,E2,,,,,,,,E2_camera,AAA105
E2,sensor,165,motion_detected,2026-01-13 18:32:27,,,,motion_detected,,,165,E2,,,,,,,,E2_motion,1
E2,sensor,165,plate_captured,2026-01-13 18:32:30,,,,plate_captured,,,165,E2,,,,,,,,E2_camera,AAA106
E2,sensor,166,motion_detected,2026-01-13 18:32:57,,,,motion_detected,,,166,E2,,,,,,,,E2_motion,1
E2,sensor,166,plate_captured,2026-01-13 18:33:01,,,,plate_captured,,,166,E2,,,,,,,,E2_camera,AAA107
E2,sensor,167,motion_detected,2026-01-13 18:33:27,,,,motion_detected,,,167,E2,,,,,,,,E2_motion,1
E2,sensor,167,plate_captured,2026-01-13 18:33:31,,,,plate_captured,,,167,E2,,,,,,,,E2_camera,AAA108
E2,sensor,168,motion_detected,2026-01-13 18:33:57,,,,motion_detected,,,168,E2,,,,,,,,E2_motion,1
E2,sensor,168,plate_captured,2026-01-13 18:34:01,,,,plate_captured,,,168,E2,,,,,,,,E2_camera,AAA109
E2,sensor,169,motion_detected,2026-01-13 18:34:27,,,,motion_detected,,,169,E2,,,,,,,,E2_motion,1
E2,sensor,169,plate_captured,2026-01-13 18:34:31,,,,plate_captured,,,169,E2,,,,,,,,E2_camera,AAA110
E2,sensor,170,motion_detected,2026-01-13 18:34:57,,,,motion_detected,,,170,E2,,,,,,,,E2_motion,1
E2,sensor,170,plate_captured,2026-01-13 18:34:58,,,,plate_captured,,,170,E2,,,,,,,,E2_camera,AAA111
E2,sensor,171,motion_detected,2026-01-13 18:35:27,,,,motion_detected,,,171,E2,,,,,,,,E2_motion,1
E2,sensor,171,plate_captured,2026-01-13 18:35:28,,,,plate_captured,,,171,E2,,,,,,,,E2_camera,AAA112
E2,sensor,172,motion_detected,2026-01-13 18:35:57,,,,motion_detected,,,172,E2,,,,,,,,E2_motion,1
E2,sensor,172,plate_captured,2026-01-13 18:35:58,,,,plate_captured,,,172,E2,,,,,,,,E2_camera,AAA113
E2,sensor,173,motion_detected,2026-01-13 18:36:27,,,,motion_detected,,,173,E2,,,,,,,,E2_motion,1
E2,sensor,173,plate_captured,2026-01-13 18:36:31,,,,plate_captured,,,173,E2,,,,,,,,E2_camera,AAA114
E2,sensor,174,plate_captured,2026-01-13 18:37:01,,,,plate_captured,,,174,E2,,,,,,,,E2_camera,AAA115
E2,sensor,175,motion_detected,2026-01-13 18:37:27,,,,motion_detected,,,175,E2,,,,,,,,E2_motion,1
E2,sensor,175,plate_captured,2026-01-13 18:37:28,,,,plate_captured,,,175,E2,,,,,,,,E2_camera,AAA116
E2,sensor,176,motion_detected,2026-01-13 18:37:57,,,,motion_detected,,,176,E2,,,,,,,,E2_motion,1
E2,sensor,176,plate_captured,2026-01-13 18:37:59,,,,plate_captured,,,176,E2,,,,,,,,E2_camera,AAA117
