c_i,a_i,t,m_i,d_s,d_t,d_p
89.0,E1_turn_on_alert_E2,2026-01-15 08:00:06,motion detected,E1,E2,E1
92.0,E1_turn_on_alert_E2,2026-01-15 10:00:09,motion detected,E1,E2,E1
92.0,E1_turn_on_alert_W1,2026-01-15 10:00:13,motion detected,E1,W1,E1
101.0,E1_turn_on_alert_E2,2026-01-15 18:00:06,motion detected,E1,E2,E1
101.0,E1_turn_on_alert_W1,2026-01-15 18:00:10,motion detected,E1,W1,E1
103.0,E1_turn_on_alert_W1,2026-01-15 20:00:05,motion detected,E1,W1,E1
127.0,E1_turn_on_alert_W1,2026-01-16 18:00:09,motion detected,E1,W1,E1
129.0,E1_turn_on_alert_E2,2026-01-16 20:00:07,motion detected,E1,E2,E1
129.0,E1_turn_on_alert_W1,2026-01-16 20:00:08,motion detected,E1,W1,E1
140.0,E1_turn_on_alert_E2,2026-01-17 06:00:10,motion detected,E1,E2,E1
140.0,E1_turn_on_alert_W1,2026-01-17 06:00:11,motion detected,E1,W1,E1
