c_s,a_s,t,val,d,sid
161,motion_detected,2026-01-13 18:30:27,1,E2,E2_motion
161,plate_captured,2026-01-13 18:30:28,AAA102,E2,E2_camera
162,motion_detected,2026-01-13 18:30:57,1,E2,E2_motion
162,plate_captured,2026-01-13 18:31:00,AAA103,E2,E2_camera
163,motion_detected,2026-01-13 18:31:27,1,E2,E2_motion
163,plate_captured,2026-01-13 18:31:28,AAA104,E2,E2_camera
164,motion_detected,2026-01-13 18:31:57,1,E2,E2_motion
164,plate_captured,2026-01-13 18:31:59,AAA105,E2,E2_camera
165,motion_detected,2026-01-13 18:32:27,1,E2,E2_motion
165,plate_captured,2026-01-13 18:32:30,AAA106,E2,E2_camera
166,motion_detected,2026-01-13 18:32:57,1,E2,E2_motion
166,plate_captured,2026-01-13 18:33:01,AAA107,E2,E2_camera
167,motion_detected,2026-01-13 18:33:27,1,E2,E2_motion
167,plate_captured,2026-01-13 18:33:31,AAA108,E2,E2_camera
168,motion_detected,2026-01-13 18:33:57,1,E2,E2_motion
168,plate_captured,2026-01-13 18:34:01,AAA109,E2,E2_camera
169,motion_detected,2026-01-13 18:34:27,1,E2,E2_motion
169,plate_captured,2026-01-13 18:34:31,AAA110,E2,E2_camera
170,motion_detected,2026-01-13 18:34:57,1,E2,E2_motion
170,plate_captured,2026-01-13 18:34:58,AAA111,E2,E2_camera
171,motion_detected,2026-01-13 18:35:27,1,E2,E2_motion
171,plate_captured,2026-01-13 18:35:28,AAA112,E2,E2_camera
172,motion_detected,2026-01-13 18:35:57,1,E2,E2_motion
172,plate_captured,2026-01-13 18:35:58,AAA113,E2,E2_camera
173,motion_detected,2026-01-13 18:36:27,1,E2,E2_motion
173,plate_captured,2026-01-13 18:36:31,AAA114,E2,E2_camera
174,plate_captured,2026-01-13 18:37:01,AAA115,E2,E2_camera
175,motion_detected,2026-01-13 18:37:27,1,E2,E2_motion
175,plate_captured,2026-01-13 18:37:28,AAA116,E2,E2_camera
176,motion_detected,2026-01-13 18:37:57,1,E2,E2_motion
176,plate_captured,2026-01-13 18:37:59,AAA117,E2,E2_camera
177,motion_detected,2026-01-13 18:38:27,1,E2,E2_motion
177,plate_captured,2026-01-13 18:38:30,AAA118,E2,E2_camera
178,motion_detected,2026-01-13 18:38:57,1,E2,E2_motion
178,plate_captured,2026-01-13 18:38:59,AAA119,E2,E2_camera
179,motion_detected,2026-01-13 18:39:27,1,E2,E2_motion
179,plate_captured,2026-01-13 18:39:28,AAA120,E2,E2_camera
180,motion_detected,2026-01-13 18:39:57,1,E2,E2_motion
180,plate_captured,2026-01-13 18:39:58,AAA121,E2,E2_camera
181,motion_detected,2026-01-13 18:40:27,1,E2,E2_motion
181,plate_captured,2026-01-13 18:40:30,AAA122,E2,E2_camera
182,motion_detected,2026-01-13 18:40:57,1,E2,E2_motion
183,motion_detected,2026-01-13 18:41:27,1,E2,E2_motion
183,plate_captured,2026-01-13 18:41:28,AAA124,E2,E2_camera
184,motion_detected,2026-01-13 18:41:57,1,E2,E2_motion
184,plate_captured,2026-01-13 18:42:01,AAA125,E2,E2_camera
185,motion_detected,2026-01-13 18:42:27,1,E2,E2_motion
185,plate_captured,2026-01-13 18:42:31,AAA126,E2,E2_camera
186,motion_detected,2026-01-13 18:42:57,1,E2,E2_motion
186,plate_captured,2026-01-13 18:43:00,AAA127,E2,E2_camera
187,motion_detected,2026-01-13 18:43:27,1,E2,E2_motion
187,plate_captured,2026-01-13 18:43:30,AAA128,E2,E2_camera
188,motion_detected,2026-01-13 18:43:57,1,E2,E2_motion
188,plate_captured,2026-01-13 18:44:01,AAA129,E2,E2_camera
189,motion_detected,2026-01-13 18:44:27,1,E2,E2_motion
189,plate_captured,2026-01-13 18:44:29,AAA130,E2,E2_camera
190,motion_detected,2026-01-13 18:44:57,1,E2,E2_motion
190,plate_captured,2026-01-13 18:44:58,AAA131,E2,E2_camera
191,motion_detected,2026-01-13 18:45:27,1,E2,E2_motion
192,motion_detected,2026-01-13 18:45:57,1,E2,E2_motion
192,plate_captured,2026-01-13 18:46:00,AAA133,E2,E2_camera
193,motion_detected,2026-01-13 18:46:27,1,E2,E2_motion
194,motion_detected,2026-01-13 18:46:57,1,E2,E2_motion
194,plate_captured,2026-01-13 18:46:59,AAA135,E2,E2_camera
195,motion_detected,2026-01-13 18:47:27,1,E2,E2_motion
195,plate_captured,2026-01-13 18:47:30,AAA136,E2,E2_camera
196,motion_detected,2026-01-13 18:47:57,1,E2,E2_motion
196,plate_captured,2026-01-13 18:48:01,AAA137,E2,E2_camera
197,motion_detected,2026-01-13 18:48:27,1,E2,E2_motion
197,plate_captured,2026-01-13 18:48:30,AAA138,E2,E2_camera
198,motion_detected,2026-01-13 18:48:57,1,E2,E2_motion
198,plate_captured,2026-01-13 18:49:01,AAA139,E2,E2_camera
199,motion_detected,2026-01-13 18:49:27,1,E2,E2_motion
