c_i,a_i,t,m_i,d_s,d_t,d_p
160,E1_turn_on_alert_E2,2026-01-13 18:00:16,motion detected,E1,E2,E2
208,E2_dim_alert_E1,2026-01-13 18:54:32,motion detected,E2,E1,E2
208,E2_dim_alert_W1,2026-01-13 18:54:35,motion detected,E2,W1,E2
209,E1_turn_on_alert_E2,2026-01-13 22:00:24,motion detected,E1,E2,E2
210,E2_dim_alert_E1,2026-01-13 22:05:08,motion detected,E2,E1,E2
210,E2_dim_alert_W1,2026-01-13 22:05:12,motion detected,E2,W1,E2
211,E1_turn_on_alert_E2,2026-01-14 00:00:15,motion detected,E1,E2,E2
212,E2_dim_alert_E1,2026-01-14 00:05:05,motion detected,E2,E1,E2
212,E2_dim_alert_W1,2026-01-14 00:05:08,motion detected,E2,W1,E2
213,E1_turn_on_alert_E2,2026-01-14 02:00:20,motion detected,E1,E2,E2
214,E2_dim_alert_E1,2026-01-14 02:05:10,motion detected,E2,E1,E2
214,E2_dim_alert_W1,2026-01-14 02:05:12,motion detected,E2,W1,E2
215,E1_turn_on_alert_E2,2026-01-14 04:00:11,motion detected,E1,E2,E2
216,E2_dim_alert_E1,2026-01-14 04:05:07,motion detected,E2,E1,E2
216,E2_dim_alert_W1,2026-01-14 04:05:09,motion detected,E2,W1,E2
217,E1_turn_on_alert_E2,2026-01-14 06:00:14,motion detected,E1,E2,E2
218,E2_dim_alert_E1,2026-01-14 06:05:05,motion detected,E2,E1,E2
218,E2_dim_alert_W1,2026-01-14 06:05:08,motion detected,E2,W1,E2
219,E1_turn_on_alert_E2,2026-01-14 08:00:14,motion detected,E1,E2,E2
220,E2_dim_alert_E1,2026-01-14 08:05:07,motion detected,E2,E1,E2
220,E2_dim_alert_W1,2026-01-14 08:05:08,motion detected,E2,W1,E2
221,E1_turn_on_alert_E2,2026-01-14 10:00:20,motion detected,E1,E2,E2
222,E2_dim_alert_E1,2026-01-14 10:05:08,motion detected,E2,E1,E2
222,E2_dim_alert_W1,2026-01-14 10:05:10,motion detected,E2,W1,E2
223,E1_turn_on_alert_E2,2026-01-14 12:00:11,motion detected,E1,E2,E2
224,E2_dim_alert_E1,2026-01-14 12:05:09,motion detected,E2,E1,E2
224,E2_dim_alert_W1,2026-01-14 12:05:11,motion detected,E2,W1,E2
225,E1_turn_on_alert_E2,2026-01-14 14:00:17,motion detected,E1,E2,E2
226,E2_dim_alert_E1,2026-01-14 14:05:06,motion detected,E2,E1,E2
226,E2_dim_alert_W1,2026-01-14 14:05:07,motion detected,E2,W1,E2
227,E1_turn_on_alert_E2,2026-01-14 16:00:11,motion detected,E1,E2,E2
229,E2_dim_alert_W1,2026-01-14 16:05:15,motion detected,E2,W1,E2
230,E1_turn_on_alert_E2,2026-01-14 18:00:14,motion detected,E1,E2,E2
231,E2_dim_alert_E1,2026-01-14 18:05:10,motion detected,E2,E1,E2
231,E2_dim_alert_W1,2026-01-14 18:05:14,motion detected,E2,W1,E2
232,E1_turn_on_alert_E2,2026-01-14 20:00:07,motion detected,E1,E2,E2
233,E2_dim_alert_E1,2026-01-14 20:05:09,motion detected,E2,E1,E2
233,E2_dim_alert_W1,2026-01-14 20:05:10,motion detected,E2,W1,E2
234,E1_turn_on_alert_E2,2026-01-14 22:00:23,motion detected,E1,E2,E2
235,E2_dim_alert_E1,2026-01-14 22:05:04,motion detected,E2,E1,E2
235,E2_dim_alert_W1,2026-01-14 22:05:05,motion detected,E2,W1,E2
236,E1_turn_on_alert_E2,2026-01-15 00:00:09,motion detected,E1,E2,E2
238,E1_turn_on_alert_E2,2026-01-15 02:00:15,motion detected,E1,E2,E2
239,E2_dim_alert_E1,2026-01-15 02:05:11,motion detected,E2,E1,E2
239,E2_dim_alert_W1,2026-01-15 02:05:15,motion detected,E2,W1,E2
240,E1_turn_on_alert_E2,2026-01-15 04:00:14,motion detected,E1,E2,E2
241,E2_dim_alert_E1,2026-01-15 04:05:04,motion detected,E2,E1,E2
243,E2_dim_alert_E1,2026-01-15 06:05:09,motion detected,E2,E1,E2
243,E2_dim_alert_W1,2026-01-15 06:05:13,motion detected,E2,W1,E2
244,E1_turn_on_alert_E2,2026-01-15 08:00:11,motion detected,E1,E2,E2
245,E2_dim_alert_E1,2026-01-15 08:05:05,motion detected,E2,E1,E2
246,E1_turn_on_alert_E2,2026-01-15 10:00:20,motion detected,E1,E2,E2
247,E2_dim_alert_E1,2026-01-15 10:05:10,motion detected,E2,E1,E2
247,E2_dim_alert_W1,2026-01-15 10:05:12,motion detected,E2,W1,E2
248,E1_turn_on_alert_E2,2026-01-15 12:00:12,motion detected,E1,E2,E2
250,E2_dim_alert_E1,2026-01-15 12:05:09,motion detected,E2,E1,E2
253,E2_dim_alert_W1,2026-01-15 14:05:13,motion detected,E2,W1,E2
254,E1_turn_on_alert_E2,2026-01-15 16:00:12,motion detected,E1,E2,E2
255,E2_dim_alert_E1,2026-01-15 16:05:06,motion detected,E2,E1,E2
256,E1_turn_on_alert_E2,2026-01-15 18:00:16,motion detected,E1,E2,E2
257,E2_dim_alert_E1,2026-01-15 18:05:04,motion detected,E2,E1,E2
257,E2_dim_alert_W1,2026-01-15 18:05:07,motion detected,E2,W1,E2
258,E1_turn_on_alert_E2,2026-01-15 20:00:08,motion detected,E1,E2,E2
259,E2_dim_alert_E1,2026-01-15 20:05:09,motion detected,E2,E1,E2
