c_a,a_cmd,t,s_pre,s_post,d,id
160,turn_on,2026-01-13 18:00:19,dimmed,ON,E2,E2_light
208,dim,2026-01-13 18:54:31,ON,dimmed,E2,E2_light
209,turn_on,2026-01-13 22:00:25,dimmed,ON,E2,E2_light
210,dim,2026-01-13 22:05:04,ON,dimmed,E2,E2_light
211,turn_on,2026-01-14 00:00:19,dimmed,ON,E2,E2_light
212,dim,2026-01-14 00:05:04,ON,dimmed,E2,E2_light
213,turn_on,2026-01-14 02:00:24,dimmed,ON,E2,E2_light
214,dim,2026-01-14 02:05:07,ON,dimmed,E2,E2_light
216,dim,2026-01-14 04:05:03,ON,dimmed,E2,E2_light
217,turn_on,2026-01-14 06:00:16,dimmed,ON,E2,E2_light
218,dim,2026-01-14 06:05:04,ON,dimmed,E2,E2_light
219,turn_on,2026-01-14 08:00:15,dimmed,ON,E2,E2_light
220,dim,2026-01-14 08:05:05,ON,dimmed,E2,E2_light
222,dim,2026-01-14 10:05:05,ON,dimmed,E2,E2_light
223,turn_on,2026-01-14 12:00:15,dimmed,ON,E2,E2_light
224,dim,2026-01-14 12:05:05,ON,dimmed,E2,E2_light
225,turn_on,2026-01-14 14:00:21,dimmed,ON,E2,E2_light
226,dim,2026-01-14 14:05:04,ON,dimmed,E2,E2_light
227,turn_on,2026-01-14 16:00:15,dimmed,ON,E2,E2_light
228,dim,2026-01-14 16:05:07,ON,dimmed,E2,E2_light
230,turn_on,2026-01-14 18:00:16,dimmed,ON,E2,E2_light
231,dim,2026-01-14 18:05:06,ON,dimmed,E2,E2_light
232,turn_on,2026-01-14 20:00:10,dimmed,ON,E2,E2_light
233,dim,2026-01-14 20:05:05,ON,dimmed,E2,E2_light
234,turn_on,2026-01-14 22:00:27,dimmed,ON,E2,E2_light
235,dim,2026-01-14 22:05:03,ON,dimmed,E2,E2_light
236,turn_on,2026-01-15 00:00:13,dimmed,ON,E2,E2_light
237,dim,2026-01-15 00:05:05,ON,dimmed,E2,E2_light
238,turn_on,2026-01-15 02:00:18,dimmed,ON,E2,E2_light
239,dim,2026-01-15 02:05:07,ON,dimmed,E2,E2_light
240,turn_on,2026-01-15 04:00:15,dimmed,ON,E2,E2_light
241,dim,2026-01-15 04:05:03,ON,dimmed,E2,E2_light
242,turn_on,2026-01-15 06:00:20,dimmed,ON,E2,E2_light
243,dim,2026-01-15 06:05:06,ON,dimmed,E2,E2_light
244,turn_on,2026-01-15 08:00:13,dimmed,ON,E2,E2_light
246,turn_on,2026-01-15 10:00:23,dimmed,ON,E2,E2_light
247,dim,2026-01-15 10:05:06,ON,dimmed,E2,E2_light
248,turn_on,2026-01-15 12:00:13,dimmed,ON,E2,E2_light
251,turn_on,2026-01-15 14:00:23,dimmed,ON,E2,E2_light
252,dim,2026-01-15 14:05:07,ON,dimmed,E2,E2_light
254,turn_on,2026-01-15 16:00:13,dimmed,ON,E2,E2_light
255,dim,2026-01-15 16:05:03,ON,dimmed,E2,E2_light
256,turn_on,2026-01-15 18:00:17,dimmed,ON,E2,E2_light
257,dim,2026-01-15 18:05:03,ON,dimmed,E2,E2_light
258,turn_on,2026-01-15 20:00:12,dimmed,ON,E2,E2_light
259,dim,2026-01-15 20:05:07,ON,dimmed,E2,E2_light
260,turn_on,2026-01-15 22:00:26,dimmed,ON,E2,E2_light
261,dim,2026-01-15 22:05:06,ON,dimmed,E2,E2_light
263,dim,2026-01-16 00:05:02,ON,dimmed,E2,E2_light
264,turn_on,2026-01-16 02:00:15,dimmed,ON,E2,E2_light
265,dim,2026-01-16 02:05:06,ON,dimmed,E2,E2_light
266,turn_on,2026-01-16 04:00:15,dimmed,ON,E2,E2_light
270,dim,2026-01-16 06:05:03,ON,dimmed,E2,E2_light
271,turn_on,2026-01-16 08:00:18,dimmed,ON,E2,E2_light
272,dim,2026-01-16 08:05:06,ON,dimmed,E2,E2_light
274,turn_on,2026-01-16 10:00:20,dimmed,ON,E2,E2_light
275,dim,2026-01-16 10:05:08,ON,dimmed,E2,E2_light
276,turn_on,2026-01-16 12:00:11,dimmed,ON,E2,E2_light
278,turn_on,2026-01-16 14:00:17,dimmed,ON,E2,E2_light
279,dim,2026-01-16 14:05:03,ON,dimmed,E2,E2_light
280,turn_on,2026-01-16 16:00:21,dimmed,ON,E2,E2_light
281,dim,2026-01-16 16:05:03,ON,dimmed,E2,E2_light
282,turn_on,2026-01-16 18:00:19,dimmed,ON,E2,E2_light
285,turn_on,2026-01-16 20:00:11,dimmed,ON,E2,E2_light
286,dim,2026-01-16 20:05:05,ON,dimmed,E2,E2_light
287,turn_on,2026-01-16 22:00:20,dimmed,ON,E2,E2_light
288,dim,2026-01-16 22:05:08,ON,dimmed,E2,E2_light
289,turn_on,2026-01-17 00:00:12,dimmed,ON,E2,E2_light
290,dim,2026-01-17 00:05:04,ON,dimmed,E2,E2_light
291,turn_on,2026-01-17 02:00:16,dimmed,ON,E2,E2_light
292,dim,2026-01-17 02:05:08,ON,dimmed,E2,E2_light
293,turn_on,2026-01-17 04:00:15,dimmed,ON,E2,E2_light
294,dim,2026-01-17 04:05:07,ON,dimmed,E2,E2_light
295,turn_on,2026-01-17 06:00:20,dimmed,ON,E2,E2_light
296,dim,2026-01-17 06:05:06,ON,dimmed,E2,E2_light
297,turn_on,2026-01-17 08:00:16,dimmed,ON,E2,E2_light
298,dim,2026-01-17 08:05:06,ON,dimmed,E2,E2_light
299,turn_on,2026-01-17 10:00:21,dimmed,ON,E2,E2_light
300,dim,2026-01-17 10:05:07,ON,dimmed,E2,E2_light
304,turn_on,2026-01-17 14:00:19,dimmed,ON,E2,E2_light
305,dim,2026-01-17 14:05:06,ON,dimmed,E2,E2_light
306,turn_on,2026-01-17 16:00:13,dimmed,ON,E2,E2_light
307,dim,2026-01-17 16:05:02,ON,dimmed,E2,E2_light
308,turn_on,2026-01-17 18:00:18,dimmed,ON,E2,E2_light
309,dim,2026-01-17 18:05:04,ON,dimmed,E2,E2_light
310,turn_on,2026-01-17 20:00:12,dimmed,ON,E2,E2_light
311,dim,2026-01-17 20:05:04,ON,dimmed,E2,E2_light
312,turn_on,2026-01-17 22:00:22,dimmed,ON,E2,E2_light
315,turn_on,2026-01-18 00:00:14,dimmed,ON,E2,E2_light
316,dim,2026-01-18 00:05:06,ON,dimmed,E2,E2_light
