val,d_s,m_i,a_s,a_i,s_post,c_s,device,a,sid,c,c_a,t,a_cmd,s_pre,id,d_p,type,c_i,d_t,d
,E1,motion detected,,E1_turn_on_alert_E2,,,E2,E1_turn_on_alert_E2,,151,,2026-01-13 18:00:15,,,,E2,interaction,151,E2,
,,,,,ON,,E2,turn_on,,151,151,2026-01-13 18:00:18,turn_on,dimmed,E2_light,,actuator,,,E2
1,,,motion_detected,,,152,E2,motion_detected,E2_motion,152,,2026-01-13 18:30:20,,,,,sensor,,,E2
AAA102,,,plate_captured,,,152,E2,plate_captured,E2_camera,152,,2026-01-13 18:30:24,,,,,sensor,,,E2
1,,,motion_detected,,,153,E2,motion_detected,E2_motion,153,,2026-01-13 18:30:50,,,,,sensor,,,E2
AAA103,,,plate_captured,,,153,E2,plate_captured,E2_camera,153,,2026-01-13 18:30:51,,,,,sensor,,,E2
1,,,motion_detected,,,154,E2,motion_detected,E2_motion,154,,2026-01-13 18:31:20,,,,,sensor,,,E2
AAA104,,,plate_captured,,,154,E2,plate_captured,E2_camera,154,,2026-01-13 18:31:24,,,,,sensor,,,E2
1,,,motion_detected,,,155,E2,motion_detected,E2_motion,155,,2026-01-13 18:31:50,,,,,sensor,,,E2
AAA105,,,plate_captured,,,155,E2,plate_captured,E2_camera,155,,2026-01-13 18:31:54,,,,,sensor,,,E2
1,,,motion_detected,,,156,E2,motion_detected,E2_motion,156,,2026-01-13 18:32:20,,,,,sensor,,,E2
AAA106,,,plate_captured,,,156,E2,plate_captured,E2_camera,156,,2026-01-13 18:32:24,,,,,sensor,,,E2
1,,,motion_detected,,,157,E2,motion_detected,E2_motion,157,,2026-01-13 18:32:50,,,,,sensor,,,E2
AAA107,,,plate_captured,,,157,E2,plate_captured,E2_camera,157,,2026-01-13 18:32:52,,,,,sensor,,,E2
1,,,motion_detected,,,158,E2,motion_detected,E2_motion,158,,2026-01-13 18:33:20,,,,,sensor,,,E2
AAA108,,,plate_captured,,,158,E2,plate_captured,E2_camera,158,,2026-01-13 18:33:23,,,,,sensor,,,E2
1,,,motion_detected,,,159,E2,motion_detected,E2_motion,159,,2026-01-13 18:33:50,,,,,sensor,,,E2
