device,d_s,id,m_i,d_t,sid,s_pre,type,a_cmd,d,s_post,a,c_i,a_i,c_s,t,c_a,val,d_p,c,a_s
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,1,2026-01-13 18:00:00,,1,,1,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,1,2026-01-13 18:00:03,,AAA101,,1,plate_captured
E1,,E1_light,,,,dimmed,actuator,turn_on,E1,ON,turn_on,,,,2026-01-13 18:00:06,1,,,1,
E1,E1,,motion detected,E2,,,interaction,,,,E1_turn_on_alert_E2,2,E1_turn_on_alert_E2,,2026-01-13 18:00:12,,,E1,2,
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,3,2026-01-13 18:00:56,,1,,3,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,3,2026-01-13 18:00:57,,AAA102,,3,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,4,2026-01-13 18:01:26,,1,,4,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,4,2026-01-13 18:01:28,,AAA103,,4,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,5,2026-01-13 18:01:56,,1,,5,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,5,2026-01-13 18:01:59,,AAA104,,5,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,6,2026-01-13 18:02:26,,1,,6,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,6,2026-01-13 18:02:28,,AAA105,,6,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,7,2026-01-13 18:02:56,,1,,7,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,7,2026-01-13 18:02:59,,AAA106,,7,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,8,2026-01-13 18:03:26,,1,,8,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,8,2026-01-13 18:03:28,,AAA107,,8,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,9,2026-01-13 18:03:56,,1,,9,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,9,2026-01-13 18:04:00,,AAA108,,9,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,10,2026-01-13 18:04:26,,1,,10,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,10,2026-01-13 18:04:27,,AAA109,,10,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,11,2026-01-13 18:04:56,,1,,11,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,11,2026-01-13 18:04:58,,AAA110,,11,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,12,2026-01-13 18:05:26,,1,,12,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,12,2026-01-13 18:05:29,,AAA111,,12,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,13,2026-01-13 18:05:56,,1,,13,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,13,2026-01-13 18:05:59,,AAA112,,13,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,14,2026-01-13 18:06:26,,1,,14,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,14,2026-01-13 18:06:27,,AAA113,,14,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,15,2026-01-13 18:06:56,,1,,15,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,15,2026-01-13 18:07:00,,AAA114,,15,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,16,2026-01-13 18:07:26,,1,,16,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,16,2026-01-13 18:07:29,,AAA115,,16,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,17,2026-01-13 18:07:56,,1,,17,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,17,2026-01-13 18:07:58,,AAA116,,17,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,18,2026-01-13 18:08:26,,1,,18,motion_detected
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,19,2026-01-13 18:08:56,,1,,19,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,19,2026-01-13 18:08:57,,AAA118,,19,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,20,2026-01-13 18:09:26,,1,,20,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,20,2026-01-13 18:09:29,,AAA119,,20,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,21,2026-01-13 18:09:56,,1,,21,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,21,2026-01-13 18:09:57,,AAA120,,21,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,22,2026-01-13 18:10:26,,1,,22,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,22,2026-01-13 18:10:30,,AAA121,,22,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,23,2026-01-13 18:10:56,,1,,23,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,23,2026-01-13 18:11:00,,AAA122,,23,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,24,2026-01-13 18:11:26,,1,,24,motion_detected
E1,,,,,E1_camera,,sensor,,E1,,plate_captured,,,24,2026-01-13 18:11:28,,AAA123,,24,plate_captured
E1,,,,,E1_motion,,sensor,,E1,,motion_detected,,,25,2026-01-13 18:11:56,,1,,25,motion_detected
