c_a,a_cmd,t,s_pre,s_post,d,id
1,turn_on,2026-01-13 18:00:05,dimmed,ON,E1,E1_light
51,dim,2026-01-13 18:54:34,ON,dimmed,E1,E1_light
52,turn_on,2026-01-13 22:00:07,dimmed,ON,E1,E1_light
53,dim,2026-01-13 22:05:19,ON,dimmed,E1,E1_light
54,turn_on,2026-01-14 00:00:05,dimmed,ON,E1,E1_light
55,dim,2026-01-14 00:05:13,ON,dimmed,E1,E1_light
56,turn_on,2026-01-14 02:00:06,dimmed,ON,E1,E1_light
57,dim,2026-01-14 02:05:14,ON,dimmed,E1,E1_light
58,turn_on,2026-01-14 04:00:07,dimmed,ON,E1,E1_light
59,dim,2026-01-14 04:05:16,ON,dimmed,E1,E1_light
60,turn_on,2026-01-14 06:00:03,dimmed,ON,E1,E1_light
61,dim,2026-01-14 06:05:15,ON,dimmed,E1,E1_light
62,turn_on,2026-01-14 08:00:06,dimmed,ON,E1,E1_light
63,dim,2026-01-14 08:05:10,ON,dimmed,E1,E1_light
64,turn_on,2026-01-14 10:00:03,dimmed,ON,E1,E1_light
65,dim,2026-01-14 10:05:09,ON,dimmed,E1,E1_light
66,turn_on,2026-01-14 12:00:05,dimmed,ON,E1,E1_light
67,dim,2026-01-14 12:05:19,ON,dimmed,E1,E1_light
68,turn_on,2026-01-14 14:00:04,dimmed,ON,E1,E1_light
69,dim,2026-01-14 14:05:16,ON,dimmed,E1,E1_light
70,turn_on,2026-01-14 16:00:06,dimmed,ON,E1,E1_light
71,dim,2026-01-14 16:05:15,ON,dimmed,E1,E1_light
72,turn_on,2026-01-14 18:00:02,dimmed,ON,E1,E1_light
73,dim,2026-01-14 18:05:16,ON,dimmed,E1,E1_light
74,turn_on,2026-01-14 20:00:03,dimmed,ON,E1,E1_light
75,dim,2026-01-14 20:05:17,ON,dimmed,E1,E1_light
76,turn_on,2026-01-14 22:00:05,dimmed,ON,E1,E1_light
77,dim,2026-01-14 22:05:16,ON,dimmed,E1,E1_light
78,turn_on,2026-01-15 00:00:04,dimmed,ON,E1,E1_light
79,dim,2026-01-15 00:05:16,ON,dimmed,E1,E1_light
80,turn_on,2026-01-15 02:00:03,dimmed,ON,E1,E1_light
81,dim,2026-01-15 02:05:14,ON,dimmed,E1,E1_light
82,turn_on,2026-01-15 04:00:05,dimmed,ON,E1,E1_light
83,dim,2026-01-15 04:05:12,ON,dimmed,E1,E1_light
84,turn_on,2026-01-15 06:00:05,dimmed,ON,E1,E1_light
85,dim,2026-01-15 06:05:18,ON,dimmed,E1,E1_light
86,turn_on,2026-01-15 08:00:02,dimmed,ON,E1,E1_light
87,dim,2026-01-15 08:05:18,ON,dimmed,E1,E1_light
88,turn_on,2026-01-15 10:00:04,dimmed,ON,E1,E1_light
89,dim,2026-01-15 10:05:17,ON,dimmed,E1,E1_light
90,turn_on,2026-01-15 12:00:08,dimmed,ON,E1,E1_light
91,dim,2026-01-15 12:05:11,ON,dimmed,E1,E1_light
92,turn_on,2026-01-15 14:00:06,dimmed,ON,E1,E1_light
93,dim,2026-01-15 14:05:10,ON,dimmed,E1,E1_light
94,turn_on,2026-01-15 16:00:04,dimmed,ON,E1,E1_light
95,dim,2026-01-15 16:05:09,ON,dimmed,E1,E1_light
96,turn_on,2026-01-15 18:00:05,dimmed,ON,E1,E1_light
97,dim,2026-01-15 18:05:18,ON,dimmed,E1,E1_light
98,turn_on,2026-01-15 20:00:06,dimmed,ON,E1,E1_light
99,dim,2026-01-15 20:05:20,ON,dimmed,E1,E1_light
100,turn_on,2026-01-15 22:00:04,dimmed,ON,E1,E1_light
101,dim,2026-01-15 22:05:13,ON,dimmed,E1,E1_light
102,turn_on,2026-01-16 00:00:06,dimmed,ON,E1,E1_light
103,dim,2026-01-16 00:05:11,ON,dimmed,E1,E1_light
104,turn_on,2026-01-16 02:00:05,dimmed,ON,E1,E1_light
105,dim,2026-01-16 02:05:18,ON,dimmed,E1,E1_light
106,turn_on,2026-01-16 04:00:07,dimmed,ON,E1,E1_light
107,dim,2026-01-16 04:05:14,ON,dimmed,E1,E1_light
108,turn_on,2026-01-16 06:00:04,dimmed,ON,E1,E1_light
109,dim,2026-01-16 06:05:18,ON,dimmed,E1,E1_light
110,turn_on,2026-01-16 08:00:07,dimmed,ON,E1,E1_light
111,dim,2026-01-16 08:05:14,ON,dimmed,E1,E1_light
112,turn_on,2026-01-16 10:00:05,dimmed,ON,E1,E1_light
113,dim,2026-01-16 10:05:17,ON,dimmed,E1,E1_light
114,turn_on,2026-01-16 12:00:07,dimmed,ON,E1,E1_light
115,dim,2026-01-16 12:05:13,ON,dimmed,E1,E1_light
116,turn_on,2026-01-16 14:00:08,dimmed,ON,E1,E1_light
117,dim,2026-01-16 14:05:09,ON,dimmed,E1,E1_light
118,turn_on,2026-01-16 16:00:06,dimmed,ON,E1,E1_light
119,dim,2026-01-16 16:05:19,ON,dimmed,E1,E1_light
120,turn_on,2026-01-16 18:00:02,dimmed,ON,E1,E1_light
121,dim,2026-01-16 18:05:12,ON,dimmed,E1,E1_light
